table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,11,"$50,000 under $75,000",19,1839498000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,12,"$75,000 under $100,000",20,1906837000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,13,"$100,000 under $200,000",21,8917871000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,14,"$200,000 under $500,000",22,11404390000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,15,"$500,000 under $1,000,000",23,7414214000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,16,"$1,000,000 under $1,500,000",24,3473707000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,17,"$1,500,000 under $2,000,000",25,2253316000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,18,"$2,000,000 under $5,000,000",26,5638265000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,19,"$5,000,000 under $10,000,000",27,3138614000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,20,"$10,000,000 or more",28,6328290000.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,1,"All returns, total",9,32247057.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,2,No adjusted gross income,10,375055.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,3,"$1 under $5,000",11,790696.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,4,"$5,000 under $10,000",12,776574.0
